,Actors,Awards,Country,Director,Genre,Language,Metascore,Plot,Ranking,Rated,Released,Response,Runtime,Title,Type,Writer,Year,imdbID,imdbRating,imdbVotes
43,"Sam Neill, Tim Roth, Fisher Stevens, Jemima West",1 win.,France,Frédéric Auburtin,"Drama, History, Sport",English,1,"Follows the passing of the FIFA baton through three association presidents: Jules Rimet, Joao Havelange, and Sepp Blatter.",55,NOT RATED,19 Jun 2014,True,110 min,United Passions,movie,"Frédéric Auburtin, Jean-Paul Delfino",2014,tt2814362,2.0,"3,348"
44,"Ray Dennis Steckler, Brett O'Hara, Atlas King, Sharon Walsh",N/A,USA,Ray Dennis Steckler,Horror,English,N/A,Jerry falls in love with a stripper he meets at a carnival. Little does he know that she is the sister of a gypsy fortune teller whose predictions he had scoffed at earlier. The gypsy turns him into a zombie and he goes on a killing spree.,56,NOT RATED,10 Feb 1964,True,82 min,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,movie,"Gene Pollock (screenplay), Robert Silliphant (screenplay), E.M. Kevke (original story)",1964,tt0057181,2.2,"4,019"
45,"Shin'ichi Chiba, Ryûko Minakami, Mitsue Komiya, Seiichirô Kameishi",N/A,Japan,Kôji Ohta,Sci-Fi,Japanese,N/A,Clumsy invaders from Neptune are thwarted by hero Space Chief and a nondescript group of microshort-wearing Japanese kids.,57,N/A,19 Jul 1961,True,74 min,Invasion of the Neptune Men,movie,"Shin Morita, Akihiro Watanabe (story)",1961,tt0055562,1.9,"2,102"
46,"Marshall Grauer, Wade Popwell, Paul Galloway, Gerald Cruse",N/A,USA,"Don Barton, Arnold Stevens","Fantasy, Sci-Fi",English,N/A,A mad scientist transforms himself into an aquatic killer.,58,PG,01 Jan 1971,True,100 min,Zaat,movie,"Ron Kivett (story), Lee O. Larew (story), Don Barton (screenplay)",1971,tt0072666,2.5,"3,967"
47,"Bill Cowell, Kelleigh Murray, Alyssa Cowell, Elena Pezzino",1 win.,USA,Bill Cowell,Horror,English,N/A,A father's psychic abilities are put to the test when his two daughters are trapped inside of a corn maze haunted by the spirits of two young girls who disappeared a year earlier.,59,R,13 Oct 2004,True,100 min,The Maize: The Movie,movie,Bill Cowell,2004,tt0451109,2.1,"2,478"
48,"Scott 'Carrot Top' Thompson, Courtney Thorne-Smith, Larry Miller, Raquel Welch",2 nominations.,USA,Alex Zamm,Comedy,English,N/A,A surfer becomes the head of a major company.,60,PG-13,18 Sep 1998,True,95 min,Chairman of the Board,movie,"Al Septien (story), Turi Meyer (story), Al Septien (screenplay), Turi Meyer (screenplay), Alex Zamm (screenplay)",1998,tt0118836,2.3,"5,172"
49,"Kevin Casey, Eric Tomlin, Anthony Cardoza, Marcia Knight",N/A,USA,Coleman Francis,"Drama, Sport",English,N/A,"A woman seeks revenge on her former lover, who owns a skydiving business.",61,N/A,13 Nov 1963,True,75 min,The Skydivers,movie,Coleman Francis,1963,tt0057507,3.0,"4,389"
50,"François Bégaudeau, Agame Malembo-Emene, Angélica Sancio, Arthur Fogel",Nominated for 1 Oscar. Another 10 wins & 26 nominations.,France,Laurent Cantet,Drama,"French, Bambara, Spanish",92,Teacher and novelist François Bégaudeau plays a version of himself as he negotiates a year with his racially mixed students from a tough Parisian neighborhood.,62,PG-13,13 Mar 2009,True,128 min,The Class,movie,"Laurent Cantet (scenario), Robin Campillo (scenario), François Bégaudeau (scenario), François Bégaudeau (inspired by the book)",2008,tt1068646,7.5,"29,541"
51,"Kathleen Turner, Christopher Lloyd, Kim Cattrall, Peter MacNicol",1 win & 2 nominations.,USA,Bob Clark,"Comedy, Crime, Family",English,6,"Scientist hold talking, super-intelligent babies captive, but things take a turn for the worse when a mix-up occurs between a baby genius and its twin.",64,PG,12 Mar 1999,True,97 min,Baby Geniuses,movie,"Steven Paul (story), Francisca Matos (story), Robert Grasmere (story), Bob Clark (screenplay), Greg Michael (screenplay)",1999,tt0118665,2.5,"19,823"
52,"Tusshar Kapoor, Aftab Shivdasani, Krishna Abhishek, Mandana Karimi",N/A,India,Umesh Ghadge,Comedy,Hindi,N/A,"A porn actor uses his fellow adult movie stars in creating a fake traditional family, in order to impress his girlfriend's conservative father.",65,N/A,22 Jan 2016,True,124 min,Kyaa Kool Hain Hum 3,movie,"Mushtaq Sheikh (story and screenplay), Milap Zaveri (dialogue)",2016,tt5290620,1.8,"3,018"
53,"Cloris Leachman, Jaime Pressly, Cary Elwes, Christopher Lloyd",2 nominations.,USA,Matthew Diamond,"Adventure, Family, Fantasy",English,32,"The Oogieloves -- Goobie, Zoozie and Toofie -- set out to find five magical balloons that will make their good friend Schluufy's surprise birthday party extra-special.",66,G,29 Aug 2012,True,88 min,The Oogieloves in the Big Balloon Adventure,movie,"Alex Greene (based on characters by), Scott Stabile, Carol Sweeney (based on characters by), Kenn Viselman (creator)",2012,tt1520498,6.7,"14,067"
54,"Michael Berry, Emby Mellay, Lee Amber, Yvonne Winslow",N/A,USA,Don Henderson,Horror,English,N/A,A young man meets a farm girl who is actually a witch.,67,PG,23 Aug 1971,True,90 min,The Touch of Satan,movie,James E. McLarty (screenplay),1971,tt0066476,2.1,"2,333"
55,"Miles O'Keeffe, Lisa Foster, Charles Borromel, Kiro Wehara",N/A,Italy,Joe D'Amato,"Action, Adventure, Fantasy",Italian,N/A,Muscle-bound Ator and his mute Asian sidekick travel from the ends of the Earth to save his aged mentor from the evil mustachioed Zor.,68,PG,15 Feb 1984,True,92 min,The Blade Master,movie,Joe D'Amato,1982,tt0086972,2.2,"2,864"
